Table Name,Status,Action
DDL,Not in Unified Manager,REVIEW / ADD TO UNIFIED
IF,Not in Unified Manager,REVIEW / ADD TO UNIFIED
MyTable,Not in Unified Manager,REVIEW / ADD TO UNIFIED
STATEMENT,Not in Unified Manager,REVIEW / ADD TO UNIFIED
STATEMENTS,Not in Unified Manager,REVIEW / ADD TO UNIFIED
a,Not in Unified Manager,REVIEW / ADD TO UNIFIED
activity_logs,Not in Unified Manager,REVIEW / ADD TO UNIFIED
agent_memory,Not in Unified Manager,REVIEW / ADD TO UNIFIED
agents,Not in Unified Manager,REVIEW / ADD TO UNIFIED
ai_models,Not in Unified Manager,REVIEW / ADD TO UNIFIED
ai_predictions,Not in Unified Manager,REVIEW / ADD TO UNIFIED
analysis_comments,Not in Unified Manager,REVIEW / ADD TO UNIFIED
and,Not in Unified Manager,REVIEW / ADD TO UNIFIED
approval_delegations,Not in Unified Manager,REVIEW / ADD TO UNIFIED
approval_instances,Not in Unified Manager,REVIEW / ADD TO UNIFIED
approval_notifications,Not in Unified Manager,REVIEW / ADD TO UNIFIED
approval_rules,Not in Unified Manager,REVIEW / ADD TO UNIFIED
approval_tasks,Not in Unified Manager,REVIEW / ADD TO UNIFIED
approval_templates,Not in Unified Manager,REVIEW / ADD TO UNIFIED
are,Not in Unified Manager,REVIEW / ADD TO UNIFIED
arguments,Not in Unified Manager,REVIEW / ADD TO UNIFIED
artifacts,Not in Unified Manager,REVIEW / ADD TO UNIFIED
attached_db,Not in Unified Manager,REVIEW / ADD TO UNIFIED
audit_logs,Not in Unified Manager,REVIEW / ADD TO UNIFIED
b,Not in Unified Manager,REVIEW / ADD TO UNIFIED
bank_account,Not in Unified Manager,REVIEW / ADD TO UNIFIED
bar,Not in Unified Manager,REVIEW / ADD TO UNIFIED
batches,Not in Unified Manager,REVIEW / ADD TO UNIFIED
bid_items,Not in Unified Manager,REVIEW / ADD TO UNIFIED
bid_revisions,Not in Unified Manager,REVIEW / ADD TO UNIFIED
bid_scenarios,Not in Unified Manager,REVIEW / ADD TO UNIFIED
bid_submissions,Not in Unified Manager,REVIEW / ADD TO UNIFIED
bids,Not in Unified Manager,REVIEW / ADD TO UNIFIED
billing_addresses,Not in Unified Manager,REVIEW / ADD TO UNIFIED
boq_generation_history,Not in Unified Manager,REVIEW / ADD TO UNIFIED
boq_items,Not in Unified Manager,REVIEW / ADD TO UNIFIED
boq_master,Not in Unified Manager,REVIEW / ADD TO UNIFIED
certificate,Not in Unified Manager,REVIEW / ADD TO UNIFIED
chapters,Not in Unified Manager,REVIEW / ADD TO UNIFIED
ci_builds,Not in Unified Manager,REVIEW / ADD TO UNIFIED
companies,Not in Unified Manager,REVIEW / ADD TO UNIFIED
company_features,Not in Unified Manager,REVIEW / ADD TO UNIFIED
company_invitations,Not in Unified Manager,REVIEW / ADD TO UNIFIED
company_nppi,Not in Unified Manager,REVIEW / ADD TO UNIFIED
company_profile,Not in Unified Manager,REVIEW / ADD TO UNIFIED
company_templates,Not in Unified Manager,REVIEW / ADD TO UNIFIED
company_tenders,Not in Unified Manager,REVIEW / ADD TO UNIFIED
competitor_bid_history,Not in Unified Manager,REVIEW / ADD TO UNIFIED
competitor_bids,Not in Unified Manager,REVIEW / ADD TO UNIFIED
competitor_data,Not in Unified Manager,REVIEW / ADD TO UNIFIED
competitor_master,Not in Unified Manager,REVIEW / ADD TO UNIFIED
competitor_profiles,Not in Unified Manager,REVIEW / ADD TO UNIFIED
competitor_tracking,Not in Unified Manager,REVIEW / ADD TO UNIFIED
competitors,Not in Unified Manager,REVIEW / ADD TO UNIFIED
